,"White, not hispanic","Black or African American, not hispanic","Asain, not hispanic",Hispanic or Latino,tract_name,state_id,county_id,tract_id,GEOID,"Other Races, not hispanic",CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,Shape_Leng,Shape_Area,geometry,"White, not hispanic_avg_surv","White, not hispanic_std_surv","Black or African American, not hispanic_avg_surv","Black or African American, not hispanic_std_surv","Asain, not hispanic_avg_surv","Asain, not hispanic_std_surv",Hispanic or Latino_avg_surv,Hispanic or Latino_std_surv,"Other Races, not hispanic_avg_surv","Other Races, not hispanic_std_surv","White, not hispanic_avg_surv_scaled","White, not hispanic_std_surv_scaled","Black or African American, not hispanic_avg_surv_scaled","Black or African American, not hispanic_std_surv_scaled","Asain, not hispanic_avg_surv_scaled","Asain, not hispanic_std_surv_scaled",Hispanic or Latino_avg_surv_scaled,Hispanic or Latino_std_surv_scaled,"Other Races, not hispanic_avg_surv_scaled","Other Races, not hispanic_std_surv_scaled",Black/White_Surv_Rate,Hispanic/White_Surv_Rate
0,3174,677,287,384,Census Tract 1,36,047,000100,36047000100,200,1.0,3,Brooklyn,100,3000100,0,Brooklyn Heights,BK0201,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),6611.44395971,2224101.05222,"POLYGON ((585247.4718226447 4506029.6838479, 585252.4465831018 4506019.405075442, 585255.9049565501 4506007.970225365, 585257.5202320634 4505996.057474665, 585257.2301529506 4505984.1150578195, 585255.7306657183 4505975.938101583, 585240.4010724874 4505927.569338484, 585223.2072815554 4505874.129748489, 585219.4607130258 4505859.341940129, 585216.24474651 4505844.42974361, 585213.5634864593 4505829.412191066, 585211.42035489 4505814.308449087, 585209.8181080578 4505799.137766639, 585208.758770823 4505783.919534112, 585208.2436951826 4505768.673174217, 585208.2735385041 4505753.418145567, 585209.8051260518 4505697.829081364, 585215.4106951961 4505612.713759552, 585210.2710964131 4505614.542802312, 585167.9201294319 4505629.611805526, 585151.3277554604 4505635.515658578, 585075.4271928464 4505660.9133242, 585100.8006743285 4505731.9128304515, 584966.4372319367 4505778.7587327175, 584894.0666496862 4505804.43854966, 584821.4519496795 4505829.516616302, 584776.7195473746 4505845.968391978, 584772.0813512304 4505847.67417138, 584768.8862756586 4505848.794420151, 584764.2289714393 4505850.678922897, 584762.3998680669 4505851.430947702, 584760.5154644939 4505858.330741996, 584756.8229864675 4505881.267972622, 584751.8392686709 4505888.538375532, 584740.8495511203 4505896.406372075, 584728.1148168202 4505901.701087724, 584709.240592976 4505887.826972035, 584694.1047754443 4505898.189736829, 584705.2224189137 4505897.8020930635, 584722.5025750528 4505915.604733656, 584720.4777755945 4505937.971431002, 584720.8130504143 4505950.354847232, 584714.9569626757 4505954.2201293865, 584760.2318265134 4506036.400238745, 584766.8811789599 4506048.469876745, 584776.7378043396 4506066.334679883, 584793.9858357238 4506097.647292863, 584800.0721492174 4506108.696525263, 584868.9329867022 4506233.70889524, 584879.2243218084 4506252.389162426, 584889.3129307788 4506270.70150375, 584895.3943496542 4506284.781783093, 584896.913595085 4506288.299222559, 584925.5326432898 4506273.310928272, 584953.2317353241 4506261.650495135, 584958.1481353475 4506259.090508362, 584970.0632854733 4506252.939023352, 584998.3582861602 4506238.620598363, 585001.2860778513 4506237.144188003, 585045.3664765902 4506212.29548441, 585056.7127165794 4506205.018623427, 585077.2615253769 4506191.019319223, 585085.4340662295 4506185.314513652, 585103.8898959201 4506171.798504494, 585128.1758642622 4506149.233463885, 585137.3650966322 4506140.267640922, 585146.7145357316 4506131.46893057, 585150.4638248733 4506127.672474019, 585153.8054477125 4506124.30038188, 585161.6081784981 4506116.426161088, 585219.1815972406 4506058.3228434175, 585247.4718226447 4506029.6838479))",3.0745155310540895e-09,3.2740985478341145e-09,3.1746991702163996e-09,3.2696498841744415e-09,3.1138360778726337e-09,3.306019014104322e-09,3.2790652415570776e-09,3.3979796754124436e-09,3.207168752794587e-09,3.4178768704151707e-09,0.1607013350627839,0.17113330619073971,0.17976356200456048,0.18514003317263347,0.16372431623839423,0.1738292219046928,0.15776353446795702,0.16348478732578983,0.1727096245478089,0.18405649235815305,1.1186189706160763,0.9817188787281754
1,249,23,55,833,Census Tract 2,36,047,000200,36047000200,0,2.0,3,Brooklyn,200,3000200,0,Sunset Park (West),BK0702,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),9075.2851212,2952085.24731,"POLYGON ((584007.6549205865 4500982.265535234, 583958.881085771 4500919.053566676, 583923.7460306548 4500873.587176366, 583912.479719621 4500859.008646352, 583903.7301330608 4500845.184597449, 583897.4691972919 4500835.291813554, 583888.0415339499 4500823.423578752, 583880.9144082514 4500814.45169043, 583872.682313511 4500804.088685278, 583863.9298505195 4500793.068912547, 583814.4901411297 4500731.008031029, 583766.1601821103 4500667.628138402, 583717.8300250678 4500605.139032895, 583668.2199793842 4500542.40834939, 583645.2684664662 4500512.1037314255, 583620.9004898035 4500479.928810559, 583572.7748479969 4500416.4222744815, 583524.7979427528 4500353.118441457, 583475.8375343571 4500290.846129152, 583467.8386637379 4500297.163586887, 583461.4024355852 4500302.246085429, 583454.7899696794 4500307.177639865, 583448.1598437254 4500312.788819958, 583260.8474871113 4500456.914153302, 583309.7769863185 4500519.623858638, 583358.5147500228 4500582.5625253515, 583406.9328605409 4500645.137607426, 583455.4783538718 4500706.7952916045, 583267.8048731885 4500855.496285719, 583314.1387327181 4500918.30859701, 583363.9353297481 4500979.055762791, 583552.468546137 4500833.347937338, 583600.8969825952 4500896.15009659, 583651.7586019387 4500961.176452642, 583662.3165387115 4500975.27795226, 583720.4212223366 4501052.885592632, 583744.5221205968 4501083.924976829, 583793.670106724 4501150.096474848, 583981.1604719339 4501002.307222975, 583987.8019111911 4500997.289029712, 583994.4433517203 4500992.270724723, 584001.447000598 4500986.961801716, 584007.6549205865 4500982.265535234))",2.1915820269668984e-09,2.296799195278254e-09,2.2779871322597955e-09,2.257279696493697e-09,2.327954273795285e-09,2.2205071115166675e-09,2.2132919941242335e-09,2.290629463885807e-09,0.0,0.0,0.11455143227474124,0.12005101074438176,0.12898831011684855,0.1278157762124658,0.12240294998822691,0.11675341907655443,0.10648667900150222,0.11020756641226959,0.0,0.0,1.1260296580795408,0.9295970978879038
2,3514,62,63,164,Census Tract 3.01,36,047,000301,36047000301,89,3.01,3,Brooklyn,301,3000301,0,Brooklyn Heights,BK0201,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),6525.11133824,2164337.28426,"POLYGON ((584966.4372319367 4505778.7587327175, 584940.8477789215 4505706.71004979, 584881.8455538863 4505538.381582542, 584863.7965866893 4505484.222433474, 584838.6113591559 4505409.322980281, 584812.534699148 4505335.274320355, 584792.6465518097 4505278.534927084, 584789.5082140836 4505269.579395533, 584768.0261662453 4505210.756247216, 584692.4780470296 4505227.766054216, 584633.0422250476 4505241.563907863, 584568.5446121917 4505254.200745421, 584563.4610409488 4505255.240563973, 584556.85346372 4505257.272850772, 584554.6602556267 4505257.955767039, 584525.6894173408 4505267.747148858, 584439.6748603681 4505301.875898937, 584436.527728113 4505299.83966828, 584433.6214445699 4505297.47240158, 584427.0392607243 4505299.741257283, 584423.4186047114 4505300.88463739, 584430.2109138728 4505312.2127774805, 584466.0083472301 4505376.783890309, 584497.8620410642 4505448.132568784, 584521.5023433995 4505499.453353669, 584532.5548816057 4505523.447275295, 584535.9947663683 4505530.9149709195, 584536.5468135963 4505532.113467332, 584526.9182924182 4505556.111952297, 584530.9514226931 4505570.513720814, 584545.9917361978 4505580.78692242, 584555.3995219662 4505590.892904229, 584571.2020409382 4505582.978393301, 584575.8003368359 4505597.314934112, 584581.5348789144 4505595.475611227, 584590.3674587148 4505617.4416076755, 584581.315295392 4505621.428922595, 584621.8689754048 4505722.444622507, 584651.110786496 4505800.319379338, 584652.8776388569 4505804.33060926, 584694.1047754443 4505898.189736829, 584709.240592976 4505887.826972035, 584728.1148168202 4505901.701087724, 584740.8495511203 4505896.406372075, 584751.8392686709 4505888.538375532, 584756.8229864675 4505881.267972622, 584760.5154644939 4505858.330741996, 584762.3998680669 4505851.430947702, 584764.2289714393 4505850.678922897, 584768.8862756586 4505848.794420151, 584772.0813512304 4505847.67417138, 584776.7195473746 4505845.968391978, 584821.4519496795 4505829.516616302, 584894.0666496862 4505804.43854966, 584966.4372319367 4505778.7587327175))",1.6620438358927458e-09,1.6215888631876396e-09,1.642963098902328e-09,1.7155257214795938e-09,1.6094697796731339e-09,1.7300463284186662e-09,1.777119562618168e-09,1.6666822366673273e-09,1.5789423102319233e-09,1.5343362136377436e-09,0.08687308965040835,0.08475855548787961,0.09303083002998412,0.09713960216980003,0.08462530865252607,0.09096517770922828,0.08550139833072054,0.08018799905510225,0.08502780944881302,0.08262572125541465,1.070882023470738,0.9842104001917311
3,3022,233,593,561,Census Tract 5.01,36,047,000501,36047000501,195,5.01,3,Brooklyn,501,3000501,0,Brooklyn Heights,BK0201,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),4828.17027571,901507.030199,"POLYGON ((585075.4271928464 4505660.9133242, 585012.6520270777 4505483.430157588, 584996.8707575091 4505438.037554917, 584970.6828446989 4505363.212862589, 584944.4597900949 4505288.327687332, 584927.2373682576 4505238.577824711, 584906.6981963775 4505179.910391395, 584835.0808496415 4505196.15808639, 584768.0261662453 4505210.756247216, 584789.5082140836 4505269.579395533, 584792.6465518097 4505278.534927084, 584812.534699148 4505335.274320355, 584838.6113591559 4505409.322980281, 584863.7965866893 4505484.222433474, 584881.8455538863 4505538.381582542, 584940.8477789215 4505706.71004979, 584966.4372319367 4505778.7587327175, 585100.8006743285 4505731.9128304515, 585075.4271928464 4505660.9133242))",1.891860446079363e-09,3.2297928775903983e-09,1.6596058971529715e-09,3.1354694396412697e-09,1.904975732713865e-09,3.18944781696473e-09,1.8004829849260773e-09,3.121257696747648e-09,1.9200152578946472e-09,3.2234870328551324e-09,0.09888533538589526,0.1688175005663734,0.09397320867276274,0.17754222520174653,0.10016289923084029,0.16769995271149557,0.08662546748123644,0.15017104264457873,0.10339496916964619,0.1735883821810226,0.9503250234833791,0.8760193525479255
4,2297,38,339,117,Census Tract 5.02,36,047,000502,36047000502,35,5.02,3,Brooklyn,502,3000502,0,Brooklyn Heights,BK0201,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),4902.47968489,1041529.09064,"POLYGON ((585215.4106951961 4505612.713759552, 585223.0486887891 4505565.557296009, 585227.7334772458 4505548.186432616, 585230.7953876643 4505536.367073541, 585232.7030287711 4505528.2700205855, 585234.6670324816 4505520.866812683, 585265.2638222405 4505392.730062345, 585271.0098027594 4505393.308306208, 585282.9104584944 4505342.398285886, 585277.8442418193 4505341.992621967, 585272.9365967193 4505341.722917365, 585156.2224944523 4505382.623179502, 585129.7317929517 4505307.79301438, 585103.5330322617 4505232.966052025, 585074.1372166917 4505148.370139029, 584982.4057266591 4505165.411790122, 584906.6981963775 4505179.910391395, 584927.2373682576 4505238.577824711, 584944.4597900949 4505288.327687332, 584970.6828446989 4505363.212862589, 584996.8707575091 4505438.037554917, 585012.6520270777 4505483.430157588, 585075.4271928464 4505660.9133242, 585151.3277554604 4505635.515658578, 585167.9201294319 4505629.611805526, 585210.2710964131 4505614.542802312, 585215.4106951961 4505612.713759552))",4.720044799455536e-09,6.608801506047257e-09,3.479449173227067e-09,6.095054683186163e-09,5.202261288417276e-09,6.54490728280166e-09,3.945749060818571e-09,6.373837457829268e-09,3.6994947105739584e-09,6.478535041765099e-09,0.24671122756325742,0.34543433411201935,0.1970196682133147,0.3451252171359082,0.27353291921567396,0.34412873475744304,0.18983925969791476,0.30666029840684395,0.1992219280395178,0.3488763582234668,0.7985841186039997,0.7694796121479289
5,3132,131,188,189,Census Tract 7,36,047,000700,36047000700,404,7.0,3,Brooklyn,700,3000700,0,Brooklyn Heights,BK0201,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),6253.28848129,1881577.5897,"POLYGON ((584768.0261662453 4505210.756247216, 584835.0808496415 4505196.15808639, 584906.6981963775 4505179.910391395, 584982.4057266591 4505165.411790122, 585074.1372166917 4505148.370139029, 585046.7453030263 4505071.29519261, 585022.2692322193 4505002.248534465, 584996.9717162076 4504931.151967167, 584971.1626663964 4504857.829240507, 584812.3413726924 4504913.554690538, 584681.9642287493 4504960.573973686, 584659.8158724606 4504966.874376324, 584623.9924544812 4504979.373287666, 584582.8059603864 4504992.799456446, 584569.0410318503 4504997.286579705, 584560.4591981154 4505001.058989766, 584553.1159712691 4505003.43175017, 584546.568310882 4505005.4797127675, 584534.0704755863 4505009.59748399, 584499.9210027772 4505022.0626535695, 584476.5025325257 4505036.14189967, 584439.7646968873 4505051.826774166, 584442.8317792747 4505061.228698794, 584403.6459006912 4505076.185588428, 584355.1174711555 4505107.21632394, 584348.3464734849 4505088.6762535935, 584344.6216145942 4505091.296490462, 584361.201728643 4505133.585274088, 584383.5046778522 4505190.470215533, 584408.8453384342 4505276.579503968, 584423.4186047114 4505300.88463739, 584427.0392607243 4505299.741257283, 584433.6214445699 4505297.47240158, 584436.527728113 4505299.83966828, 584439.6748603681 4505301.875898937, 584525.6894173408 4505267.747148858, 584554.6602556267 4505257.955767039, 584556.85346372 4505257.272850772, 584563.4610409488 4505255.240563973, 584568.5446121917 4505254.200745421, 584633.0422250476 4505241.563907863, 584692.4780470296 4505227.766054216, 584768.0261662453 4505210.756247216))",1.6731065421993208e-09,2.2026447332734733e-09,1.5819827670071618e-09,2.039789892549493e-09,1.6091595833600536e-09,2.0896764318933947e-09,1.931670823296372e-09,2.55246113134433e-09,1.5450873913636087e-09,2.1829962282282622e-09,0.08745132438525276,0.11512966700958564,0.08957789131486542,0.11550067491925613,0.0846089986484062,0.10987439171973898,0.0929372226723838,0.12280490322959998,0.08320468420111651,0.11755678856563546,1.0243171495064434,1.0627308771558885
6,3326,196,376,307,Census Tract 9,36,047,000900,36047000900,482,9.0,3,Brooklyn,900,3000900,0,Brooklyn Heights,BK0201,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),5930.08177063,1769269.50617,"POLYGON ((585277.8442418193 4505341.992621967, 585297.4878230505 4505259.99930459, 585296.9387246647 4505248.039752225, 585285.9454504768 4505211.364747068, 585274.468943646 4505173.077550973, 585264.5249964851 4505145.269106712, 585254.5809722807 4505117.460793227, 585280.4684063591 4505112.026796963, 585381.6003680518 4505090.798195664, 585412.7883406505 4505075.371900101, 585419.2449180029 4505072.1763409395, 585427.3940928099 4505068.137961044, 585413.86183634 4504994.145517886, 585405.6332882968 4504949.103668697, 585404.6199629926 4504943.458180985, 585369.9937600655 4504872.088481405, 585350.0174605413 4504834.822721144, 585332.7095622547 4504802.535056012, 585300.9189493615 4504739.664584574, 585281.3367616349 4504738.958880014, 585140.622332399 4504798.780606273, 584971.1626663964 4504857.829240507, 584996.9717162076 4504931.151967167, 585022.2692322193 4505002.248534465, 585046.7453030263 4505071.29519261, 585074.1372166917 4505148.370139029, 585103.5330322617 4505232.966052025, 585129.7317929517 4505307.79301438, 585156.2224944523 4505382.623179502, 585272.9365967193 4505341.722917365, 585277.8442418193 4505341.992621967))",3.822003602493851e-09,5.2615374279696425e-09,3.797814951411738e-09,5.128383939734249e-09,3.724167862984018e-09,5.077365639039044e-09,3.486347877057483e-09,5.244903178436289e-09,3.789250246910569e-09,5.120682100567819e-09,0.1997716633179453,0.27501441466702814,0.2150467514858785,0.2903886368139788,0.19581532928368892,0.2669659534910134,0.1677363891693318,0.25234461726641666,0.20405536406257577,0.2757544585850475,1.0764627370780921,0.8396405495326534
7,868,164,208,221,Census Tract 11,36,047,001100,36047001100,47,11.0,3,Brooklyn,1100,3001100,0,Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),5758.21282277,1811205.70989,"POLYGON ((585744.0796909478 4505382.481176002, 585742.6281255985 4505324.059939218, 585740.8500449568 4505252.589092888, 585738.6118657463 4505178.163747441, 585738.2677157609 4505164.892533181, 585736.055536442 4505079.584678034, 585730.8267309334 4504913.982751855, 585648.5915767027 4504955.654254017, 585637.2846705719 4504961.419109447, 585562.1794601742 4504999.860883555, 585488.9269602565 4505037.661919048, 585427.3940928099 4505068.137961044, 585419.2449180029 4505072.1763409395, 585412.7883406505 4505075.371900101, 585381.6003680518 4505090.798195664, 585280.4684063591 4505112.026796963, 585254.5809722807 4505117.460793227, 585264.5249964851 4505145.269106712, 585274.468943646 4505173.077550973, 585285.9454504768 4505211.364747068, 585296.9387246647 4505248.039752225, 585297.4878230505 4505259.99930459, 585277.8442418193 4505341.992621967, 585282.9104584944 4505342.398285886, 585271.0098027594 4505393.308306208, 585325.7715838421 4505398.824352033, 585415.5338358771 4505394.688201051, 585425.2294029703 4505394.165751155, 585431.1016225329 4505394.014639068, 585438.6728288902 4505393.74878267, 585450.6987802682 4505393.325874214, 585573.457930682 4505389.011369679, 585612.9082900942 4505387.501684318, 585657.348042302 4505385.801042259, 585744.0796909478 4505382.481176002))",7.3930905841734784e-09,6.945386932244446e-09,7.007253444157868e-09,6.960323428728543e-09,6.224788240416501e-09,6.75658951010405e-09,6.816067710246898e-09,7.019477443748201e-09,7.939004120771642e-09,6.781682770906627e-09,0.38642820799459254,0.36302726112970135,0.3967773862821404,0.394120030014293,0.327296997306059,0.3552589057292503,0.3279370350773631,0.33772355536236737,0.4275242516587954,0.36520120250767635,1.0267816325864407,0.8486363787447734
8,1119,1645,987,1142,Census Tract 15.01,36,047,001501,36047001501,224,15.01,3,Brooklyn,1501,3001501,0,Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),6693.22494391,1776324.90445,"POLYGON ((586132.2913029769 4505671.315359194, 586141.8526913724 4505572.958070273, 586142.5108525229 4505566.611030237, 586143.1845888004 4505560.111320526, 586143.9708599496 4505553.39494798, 586145.5277990043 4505540.105870297, 586146.8043936229 4505530.624620379, 586151.0939693506 4505500.529746987, 586153.8404808636 4505470.154768118, 586156.4489006815 4505450.772744329, 586158.6873335252 4505432.117563769, 586165.5555080042 4505379.031945015, 586167.4374877227 4505366.608259954, 586170.9964344999 4505354.32483235, 586176.2035865714 4505342.519000375, 586182.942235576 4505331.514305186, 586191.013147705 4505321.5935654575, 586200.1531183051 4505312.971729342, 586212.0138199045 4505302.463275822, 586212.023927539 4505302.454370315, 586212.0320066574 4505302.445571917, 586222.7768865664 4505290.548759713, 586222.7879959354 4505290.536815362, 586222.7981419025 4505290.522907146, 586232.2082726612 4505277.404254338, 586240.0846908666 4505263.311356306, 586240.0929034161 4505263.29737029, 586240.0990310299 4505263.283546537, 586246.2998027739 4505248.50770452, 586246.3079420778 4505248.488714528, 586246.314138259 4505248.468865464, 586250.784066132 4505233.274432052, 586170.825062732 4505236.2935091555, 586097.246301645 4505239.074308458, 586055.9762345519 4505240.629482692, 586049.5454449564 4505240.87181235, 586032.1668047128 4505241.291656071, 585988.7334786333 4505243.163204755, 585981.7185973354 4505243.427529497, 585974.9434304272 4505243.164732956, 585968.113760724 4505243.128149962, 585968.203618895 4505248.947378136, 585969.8120352048 4505312.010921631, 585971.4349510393 4505375.228037192, 585902.7587076337 4505376.633480135, 585857.6583119335 4505378.326126648, 585847.0265320651 4505378.535095053, 585838.0200675715 4505379.206407867, 585823.4589601245 4505379.881498573, 585744.0796909478 4505382.481176002, 585747.2912191201 4505502.187583883, 585790.6297142642 4505500.688397751, 585785.8562332364 4505511.023469797, 585785.8408566213 4505511.057368217, 585781.5301985807 4505520.337934827, 585756.8369065869 4505591.08370541, 585753.0089802031 4505601.088617516, 585757.2439842955 4505608.982910132, 585764.2342685262 4505610.484140629, 585750.0951801051 4505649.437665592, 585754.4740530113 4505685.994718441, 585756.5448311493 4505777.771856309, 585836.4971041451 4505775.323689234, 585908.0731930721 4505772.564268815, 585916.3106999814 4505772.246148323, 585915.8663562879 4505763.153230015, 585911.7689586239 4505679.391983219, 585983.1554162372 4505676.250446264, 585989.0038564241 4505675.993013652, 585996.9929122181 4505675.641114663, 586004.6725296816 4505675.42049967, 586132.2913029769 4505671.315359194))",4.218957183610428e-09,3.038326479298803e-09,3.984134799850381e-09,3.053561625776524e-09,4.226814454000305e-09,3.00588864909912e-09,4.14606038390275e-09,3.051642716300762e-09,4.196376579557182e-09,3.0943561046825607e-09,0.2205199632692929,0.15880977560471965,0.22559689114689,0.17290429272787075,0.2222442957949657,0.1580484815047589,0.19947670817658752,0.14682170234233963,0.22597957244532885,0.16663453726632588,1.023022531848499,0.9045743760304914
9,1771,654,1626,706,Census Tract 15.02,36,047,001502,36047001502,317,15.02,3,Brooklyn,1502,3001502,0,Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),5512.19098944,1520130.88513,"POLYGON ((585968.113760724 4505243.128149962, 585968.1107395532 4505238.2635197, 585968.3681954497 4505173.274005612, 586032.4915575213 4505171.550510558, 586031.728918791 4505117.414825615, 586031.0371956404 4505068.311043893, 586031.6268037717 4505026.069004903, 586008.9807786115 4504988.861377483, 586064.6909577025 4504842.2601059135, 586066.9012959935 4504835.943713072, 586060.5253185187 4504836.151761556, 586051.9817167892 4504836.493830583, 585951.1117353959 4504841.020602324, 585920.041370607 4504842.414638406, 585888.7577589724 4504842.433453, 585888.4456201299 4504833.155682064, 585870.5682820567 4504842.335436681, 585840.8002076829 4504857.130083818, 585810.0362880566 4504873.326940895, 585752.9138352347 4504902.528635554, 585730.8267309334 4504913.982751855, 585736.055536442 4505079.584678034, 585738.2677157609 4505164.892533181, 585738.6118657463 4505178.163747441, 585740.8500449568 4505252.589092888, 585742.6281255985 4505324.059939218, 585744.0796909478 4505382.481176002, 585823.4589601245 4505379.881498573, 585838.0200675715 4505379.206407867, 585847.0265320651 4505378.535095053, 585857.6583119335 4505378.326126648, 585902.7587076337 4505376.633480135, 585971.4349510393 4505375.228037192, 585969.8120352048 4505312.010921631, 585968.203618895 4505248.947378136, 585968.113760724 4505243.128149962))",4.416973897747312e-09,4.297274092124326e-09,4.2867425165127315e-09,4.2919912068839494e-09,4.583280865944062e-09,4.2798857791126466e-09,4.39808323093871e-09,4.29216795438947e-09,5.050559526154075e-09,4.2289989288235574e-09,0.23087006558789558,0.224613496585047,0.24273169294090785,0.24302889378621656,0.2409871641084828,0.225034765877071,0.21160211959297948,0.2065062867407412,0.27197827952095216,0.22773632244133507,1.0513779355621848,0.9165420343869547
